#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
34.140	467	34.166	668
34.191	460	34.216	675
34.241	455	34.267	674
34.293	457	34.317	671
34.343	466	34.368	662
34.394	472	34.419	654
34.444	492	34.470	632
34.495	506	34.520	615
34.546	524	34.571	593
34.597	545	34.621	574
34.647	567	34.673	553
34.698	588	34.723	539
34.748	603	34.774	522
34.800	615	34.824	511
34.850	630	34.875	504
34.901	638	34.925	501
34.951	639	34.977	503
35.002	634	35.027	511
35.052	627	35.078	523
35.104	612	35.128	541
35.154	598	35.179	555
35.205	577	35.230	568
35.255	555	35.281	592
35.306	534	35.331	612
35.357	516	35.382	634
35.408	499	35.432	647
35.458	480	35.484	662
35.509	464	35.534	669
35.559	458	35.585	673
35.611	459	35.635	673
35.661	460	35.686	669
35.712	466	35.736	659
35.762	475	35.788	643
35.813	490	35.838	628
35.863	510	35.889	607
35.915	529	35.939	584
35.965	549	35.990	572
36.016	570	36.041	547
36.066	588	36.092	535
36.117	603	36.142	522
36.168	621	36.193	509
36.219	628	36.244	503
36.269	626	36.295	503
36.320	630	36.346	505
36.370	631	36.396	514
36.422	615	36.447	526
36.472	607	36.497	541
36.523	594	36.549	553
36.573	573	36.599	575
36.624	553	36.650	590
36.674	534	36.700	618
36.726	513	36.751	636
36.776	496	36.801	653
36.827	480	36.853	661
36.877	471	36.903	670
36.928	456	36.954	672
36.979	461	37.004	671
37.030	463	37.055	665
37.080	469	37.106	656
37.131	482	37.157	641
37.181	497	37.207	624
37.233	512	37.258	605
37.283	536	37.308	586
37.334	551	37.360	566
37.384	573	37.410	556
37.435	591	37.461	531
37.485	607	37.511	519
37.537	620	37.562	511
37.587	630	37.612	503
37.638	637	37.664	494
37.688	632	37.714	508
37.739	627	37.765	517
37.790	613	37.815	529
37.841	608	37.866	545
37.891	593	37.917	564
37.942	570	37.968	580
37.992	549	38.018	601
38.044	529	38.069	615
38.094	510	38.119	638
38.145	493	38.171	654
38.195	479	38.221	664
38.246	473	38.272	670
38.296	462	38.322	666
38.348	462	38.373	671
38.398	464	38.423	663
38.449	471	38.475	652
38.499	481	38.525	636
38.550	498	38.576	619
38.601	522	38.626	601
38.652	527	38.677	581
38.702	556	38.728	562
38.753	576	38.779	546
38.803	597	38.829	530
38.855	609	38.880	519
38.905	620	38.930	514
38.956	628	38.982	501
39.006	631	39.032	507
39.057	635	39.083	514
39.107	626	39.133	519
39.159	614	39.184	529
39.209	603	39.234	548
39.260	578	39.286	570
39.310	569	39.336	587
39.361	549	39.387	606
39.412	522	39.437	620
39.463	510	39.488	643
39.514	492	39.539	654
39.564	478	39.590	664
39.615	469	39.640	676
39.666	470	39.691	674
39.717	464	39.741	670
39.767	469	39.793	663
39.818	475	39.843	648
39.868	488	39.894	634
39.920	507	39.944	622
39.970	520	39.995	597
40.021	532	40.045	579
40.071	559	40.097	558
40.122	572	40.147	542
40.172	593	40.198	526
40.224	605	40.248	515
40.274	625	40.299	508
40.325	625	40.350	505
40.375	629	40.401	506
40.426	627	40.451	513
40.477	621	40.502	525
40.528	610	40.552	535
40.578	597	40.604	547
40.629	580	40.654	571
40.679	561	40.705	587
40.731	542	40.755	605
40.781	522	40.806	627
40.832	506	40.856	643
40.882	499	40.908	658
40.933	479	40.958	665
40.983	475	41.009	671
41.035	466	41.059	665
41.085	464	41.110	666
41.136	470	41.161	659
41.186	481	41.212	645
41.237	492	41.262	627
41.288	507	41.313	613
41.339	526	41.363	586
41.389	544	41.415	580
41.440	562	41.465	556
41.490	581	41.516	539
41.542	595	41.566	525
41.592	608	41.617	514
41.643	621	41.667	508
41.693	624	41.719	505
41.744	624	41.769	508
41.794	631	41.820	522
41.846	618	41.870	526
41.896	603	41.921	537
41.947	593	41.972	554
41.997	575	42.023	577
42.048	561	42.073	595
42.099	539	42.124	608
42.150	521	42.174	633
42.200	506	42.226	645
42.251	489	42.276	659
42.301	476	42.327	666
42.353	467	42.377	670
42.403	470	42.428	672
42.454	468	42.478	663
42.504	472	42.530	654
42.555	482	42.581	643
42.605	494	42.631	627
42.657	512	42.682	612
42.707	526	42.732	588
42.758	548	42.784	564
42.808	564	42.834	555
42.859	581	42.885	536
42.910	599	42.935	527
42.961	611	42.986	521
43.011	620	43.037	507
43.062	624	43.088	508
43.112	624	43.138	510
43.164	619	43.189	515
43.214	616	43.239	528
43.265	605	43.291	537
43.315	587	43.341	557
43.366	577	43.392	579
43.416	554	43.442	591
43.468	534	43.493	618
43.518	518	43.543	629
43.569	500	43.595	645
43.619	488	43.645	659
43.670	477	43.696	665
43.721	472	43.746	666
43.772	466	43.797	664
43.822	469	43.848	661
43.873	477	43.899	652
43.923	486	43.949	638
43.975	503	44.000	624
44.025	517	44.050	604
44.076	538	44.102	581
44.126	551	44.152	567
44.177	569	44.203	550
44.227	586	44.253	531
44.279	600	44.304	525
44.329	606	44.354	516
44.380	618	44.406	512
44.430	625	44.456	510
44.481	623	44.507	515
44.532	618	44.557	519
44.583	612	44.608	530
44.633	595	44.659	549
44.684	582	44.710	564
44.734	562	44.760	581
44.786	550	44.811	600
44.836	537	44.861	618
44.887	518	44.913	633
44.937	500	44.963	649
44.988	487	45.014	658
45.038	480	45.064	669
45.090	472	45.115	669
45.140	471	45.165	667
45.191	475	45.217	662
45.241	483	45.267	656
45.292	489	45.318	635
45.343	505	45.368	624
45.394	518	45.419	601
45.444	537	45.470	584
45.495	553	45.521	564
45.545	578	45.571	549
45.597	593	45.622	533
45.647	602	45.672	520
45.698	612	45.724	514
45.748	617	45.774	507
45.799	621	45.825	513
45.850	619	45.875	513
45.901	615	45.926	521
45.951	605	45.976	533
46.002	594	46.028	556
46.052	577	46.078	569
46.103	563	46.129	586
46.154	545	46.179	602
46.205	528	46.230	621
46.255	510	46.281	638
46.306	493	46.332	651
46.356	484	46.382	659
46.408	472	46.433	665
46.458	472	46.483	668
46.509	473	46.535	664
46.559	477	46.585	661
46.610	483	46.636	647
46.661	495	46.686	629
46.712	509	46.737	619
46.762	525	46.787	598
46.813	544	46.839	577
46.863	559	46.889	567
46.914	575	46.940	547
46.965	589	46.990	533
47.016	602	47.041	520
47.067	613	47.092	512
47.117	618	47.143	514
47.168	619	47.193	512
47.219	622	47.244	516
47.270	619	47.294	524
47.320	600	47.346	542
47.371	589	47.396	554
47.421	574	47.447	575
47.473	559	47.497	587
47.523	548	47.548	607
47.574	525	47.598	621
47.624	509	47.650	636
47.675	495	47.700	651
47.725	483	47.751	659
47.777	476	47.801	665
47.827	475	47.852	666
47.878	472	47.903	662
47.928	481	47.954	656
47.979	491	48.004	641
48.030	497	48.055	629
48.081	514	48.105	616
48.131	529	48.157	593
48.182	546	48.207	576
48.232	562	48.258	562
48.284	578	48.308	543
48.334	592	48.359	532
48.385	605	48.410	522
48.435	611	48.461	514
48.486	618	48.511	511
48.536	618	48.562	512
48.588	615	48.612	518
48.638	602	48.663	528
48.689	599	48.714	540
48.739	587	48.765	556
48.790	569	48.815	575
48.841	554	48.866	594
48.892	537	48.916	609
48.942	522	48.968	624
48.993	506	49.018	644
49.043	494	49.069	659
49.095	485	49.119	664
49.145	480	49.170	663
49.196	475	49.221	661
49.246	483	49.272	660
49.297	484	49.322	652
49.347	488	49.373	640
49.399	502	49.423	627
49.449	520	49.474	609
49.500	526	49.525	592
49.550	559	49.576	574
49.601	561	49.626	556
49.652	581	49.677	544
49.703	594	49.727	531
49.753	603	49.779	518
49.804	612	49.829	511
49.854	616	49.880	513
49.906	616	49.930	520
49.956	613	49.981	525
50.007	609	50.032	529
50.057	592	50.083	545
50.108	583	50.134	559
50.158	567	50.184	577
50.210	546	50.235	594
50.260	528	50.285	609
50.311	512	50.337	627
50.361	504	50.387	639
50.412	492	50.438	651
50.463	482	50.488	659
50.514	474	50.539	662
50.564	481	50.590	655
50.615	479	50.641	658
50.665	486	50.691	650
50.717	495	50.742	638
50.767	506	50.792	622
50.818	521	50.844	606
50.868	534	50.894	589
50.919	553	50.945	573
50.970	564	50.995	558
51.021	583	51.046	541
51.071	589	51.096	529
51.122	611	51.148	519
51.172	613	51.198	512
51.223	616	51.249	512
51.274	615	51.299	513
51.325	612	51.350	530
51.375	602	51.401	537
51.426	590	51.452	544
51.476	571	51.502	570
51.528	563	51.553	584
51.578	545	51.603	597
51.629	530	51.655	618
51.679	511	51.705	632
51.730	505	51.756	642
51.781	491	51.806	652
51.832	487	51.857	655
51.882	477	51.907	660
51.933	479	51.959	660
51.983	482	52.009	657
52.034	488	52.060	647
52.085	498	52.110	635
52.136	510	52.161	623
52.186	522	52.212	604
52.237	541	52.263	583
52.287	553	52.313	575
52.339	574	52.364	554
52.389	587	52.414	539
52.440	597	52.466	530
52.490	607	52.516	521
52.541	610	52.567	516
52.592	614	52.617	517
52.643	617	52.668	519
52.693	609	52.718	526
52.744	599	52.770	538
52.794	592	52.820	553
52.845	572	52.871	566
52.896	559	52.921	582
52.947	543	52.972	602
52.997	522	53.023	612
53.048	511	53.074	629
53.098	500	53.124	644
53.150	490	53.175	653
53.200	484	53.225	657
53.251	479	53.277	659
53.301	483	53.327	658
53.352	485	53.378	651
53.403	489	53.428	645
53.454	501	53.479	627
53.504	515	53.530	618
53.555	528	53.581	599
53.605	544	53.631	588
53.656	563	53.682	570
53.707	576	53.732	550
53.758	585	53.783	535
53.809	599	53.834	537
53.859	608	53.885	515
53.910	613	53.935	516
53.961	613	53.986	518
54.012	610	54.036	522
54.062	602	54.088	531
54.113	588	54.138	541
54.163	580	54.189	555
54.215	571	54.239	569
54.265	554	54.290	589
54.316	539	54.341	602
54.366	525	54.392	617
54.417	509	54.442	634
54.467	499	54.493	643
54.519	488	54.543	650
54.569	482	54.594	654
54.620	481	54.645	664
54.670	481	54.696	656
54.721	483	54.746	649
54.772	492	54.797	640
54.823	499	54.847	628
54.873	516	54.899	612
54.924	530	54.949	598
54.974	550	55.000	581
55.026	566	55.050	562
55.076	578	55.101	552
55.127	592	55.152	539
55.177	602	55.203	535
55.228	609	55.253	519
55.278	617	55.304	522
55.330	613	55.354	515
55.380	614	55.405	524
55.431	600	55.456	531
55.481	592	55.507	544
55.532	578	55.557	559
55.583	570	55.608	572
55.634	544	55.658	588
55.684	537	55.710	605
55.735	525	55.760	615
55.785	502	55.811	634
55.837	497	55.861	645
55.887	488	55.912	653
55.938	483	55.963	652
55.988	484	56.014	653
56.039	486	56.064	650
56.090	485	56.115	647
