#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
43.062	484	43.088	526
43.112	477	43.138	511
43.163	465	43.189	502
43.214	453	43.239	499
43.265	461	43.290	501
43.315	459	43.341	504
43.366	465	43.392	512
43.416	470	43.442	517
43.468	482	43.493	539
43.518	504	43.543	552
43.569	515	43.595	569
43.619	530	43.645	588
43.670	547	43.696	608
43.720	561	43.746	617
43.772	574	43.797	637
43.822	584	43.847	648
43.873	594	43.899	651
43.923	603	43.949	654
43.974	599	44.000	654
44.025	594	44.050	649
44.076	595	44.101	640
44.126	582	44.152	632
44.177	574	44.203	614
44.227	555	44.253	601
44.279	543	44.304	579
44.329	528	44.354	570
44.380	512	44.406	546
44.430	498	44.456	533
44.481	483	44.507	516
44.531	473	44.557	509
44.583	465	44.608	503
44.633	457	44.658	501
44.684	456	44.710	503
44.734	464	44.760	508
44.785	461	44.811	515
44.836	473	44.861	527
44.887	483	44.912	542
44.937	501	44.963	555
44.988	516	45.014	575
45.038	531	45.064	593
45.090	547	45.115	602
45.140	563	45.165	616
45.191	568	45.217	635
45.241	587	45.267	643
45.292	593	45.318	649
45.342	602	45.368	647
45.394	600	45.419	650
45.444	595	45.469	645
45.495	589	45.521	639
45.545	587	45.571	625
45.596	568	45.622	612
45.647	557	45.672	596
45.698	539	45.723	579
45.748	526	45.774	563
45.799	511	45.825	546
45.849	494	45.875	525
45.901	483	45.926	519
45.951	472	45.976	515
46.002	464	46.028	504
46.052	461	46.078	504
46.103	458	46.129	504
46.154	463	46.179	510
46.205	470	46.230	518
46.255	478	46.280	529
46.306	490	46.332	543
46.356	501	46.382	557
46.407	516	46.433	575
46.458	533	46.483	591
46.509	548	46.534	603
46.559	562	46.585	619
46.610	577	46.636	628
46.660	585	46.686	644
46.712	593	46.737	656
46.762	597	46.787	644
46.813	598	46.839	648
46.863	591	46.889	643
46.914	588	46.940	634
46.965	575	46.990	623
47.016	566	47.041	610
47.066	553	47.091	588
47.117	540	47.143	578
47.167	524	47.193	562
47.218	510	47.244	550
47.269	495	47.294	532
47.320	482	47.345	530
47.371	473	47.396	509
47.421	464	47.447	506
47.472	461	47.497	503
47.523	462	47.548	507
47.574	461	47.598	512
47.624	469	47.650	521
47.675	476	47.700	531
47.725	492	47.751	546
47.777	503	47.801	560
47.827	517	47.852	577
47.878	533	47.902	593
47.928	551	47.954	605
47.979	563	48.004	620
48.029	576	48.055	631
48.081	585	48.105	645
48.131	599	48.156	644
48.182	596	48.207	646
48.232	595	48.258	645
48.283	593	48.308	642
48.334	589	48.359	631
48.385	582	48.409	620
48.435	561	48.461	607
48.486	554	48.511	593
48.536	533	48.562	574
48.588	522	48.612	561
48.638	507	48.663	547
48.689	494	48.714	532
48.739	481	48.765	524
48.790	472	48.815	508
48.840	466	48.866	508
48.892	462	48.916	507
48.942	462	48.967	510
48.993	465	49.018	515
49.043	472	49.069	523
49.094	482	49.119	534
49.145	496	49.170	548
49.196	501	49.220	562
49.246	523	49.272	579
49.297	536	49.322	594
49.347	545	49.373	608
49.399	565	49.423	620
49.449	576	49.474	638
49.500	585	49.525	641
49.550	591	49.576	649
49.601	596	49.626	650
49.651	595	49.677	646
49.703	591	49.727	638
49.753	581	49.778	628
49.804	583	49.829	623
49.854	564	49.880	603
49.905	555	49.930	592
49.956	537	49.981	576
50.007	528	50.031	560
50.057	503	50.083	547
50.108	495	50.133	533
50.158	481	50.184	522
50.210	471	50.234	510
50.260	465	50.285	510
50.311	463	50.336	512
50.361	464	50.387	513
50.412	467	50.438	515
50.462	473	50.488	523
50.514	486	50.539	536
50.564	495	50.589	550
50.615	504	50.641	567
50.665	530	50.691	579
50.716	538	50.742	595
50.767	559	50.792	610
50.818	565	50.843	621
50.868	574	50.894	633
50.919	587	50.945	637
50.969	590	50.995	644
51.021	594	51.046	641
51.071	598	51.096	646
51.122	593	51.148	641
51.172	584	51.198	631
51.223	573	51.249	610
51.274	562	51.299	602
51.325	545	51.350	588
51.375	531	51.400	573
51.426	519	51.452	559
51.476	507	51.502	545
51.527	492	51.553	534
51.578	482	51.603	520
51.629	468	51.654	517
51.679	467	51.705	504
51.730	464	51.756	506
51.780	464	51.806	516
51.832	467	51.857	507
51.882	475	51.907	532
51.933	486	51.959	540
51.983	495	52.009	552
52.034	509	52.060	566
52.085	530	52.110	582
52.136	538	52.161	594
52.186	548	52.211	609
52.237	570	52.263	621
52.287	572	52.313	631
52.338	586	52.364	638
52.389	591	52.414	644
52.440	594	52.465	640
52.490	591	52.516	645
52.541	588	52.567	637
52.591	582	52.617	617
52.643	571	52.668	620
52.693	561	52.718	603
52.744	546	52.770	588
52.794	534	52.820	574
52.845	514	52.871	558
52.896	503	52.921	545
52.947	489	52.972	533
52.997	481	53.022	522
53.048	470	53.074	512
53.098	467	53.124	512
53.149	470	53.175	519
53.200	466	53.225	517
53.251	469	53.276	524
53.301	477	53.327	528
53.352	485	53.378	538
53.402	501	53.428	552
53.454	512	53.479	563
53.504	524	53.529	580
53.555	535	53.581	598
53.605	556	53.631	609
53.656	574	53.682	621
53.707	576	53.732	631
53.758	584	53.783	637
53.808	588	53.834	642
53.859	594	53.885	641
53.909	589	53.935	638
53.960	585	53.986	634
54.011	582	54.036	623
54.062	570	54.087	618
54.113	558	54.138	594
54.163	545	54.189	584
54.214	529	54.239	571
54.265	514	54.290	558
54.316	505	54.340	545
54.366	484	54.392	540
54.417	475	54.442	525
54.467	469	54.493	511
54.519	472	54.543	510
54.569	466	54.594	512
54.620	465	54.645	516
54.670	472	54.696	528
54.721	479	54.746	532
54.771	490	54.797	538
54.823	501	54.847	554
54.873	513	54.898	573
54.924	529	54.949	579
54.974	537	55.000	601
55.025	554	55.050	606
55.076	567	55.101	621
55.127	578	55.151	630
55.177	587	55.203	638
55.228	593	55.253	645
55.278	590	55.304	637
55.330	588	55.354	641
55.380	581	55.405	633
55.431	577	55.456	622
55.481	567	55.507	612
55.532	555	55.557	601
55.582	543	55.608	580
55.634	529	55.658	573
55.684	515	55.709	551
55.735	502	55.760	542
55.785	485	55.811	532
55.836	480	55.861	525
55.887	471	55.912	518
55.938	472	55.962	514
55.988	465	56.014	516
56.039	477	56.064	518
56.089	474	56.115	519
56.141	476	56.165	539
56.191	491	56.216	545
56.242	503	56.267	553
56.292	513	56.318	565
56.343	530	56.368	583
56.394	547	56.419	600
56.445	557	56.469	604
56.495	567	56.520	619
56.546	573	56.571	630
56.596	585	56.622	635
56.647	590	56.672	639
56.698	591	56.723	639
56.749	588	56.773	635
56.799	584	56.825	629
56.850	570	56.875	616
56.900	568	56.926	612
56.952	553	56.976	596
57.002	540	57.027	580
57.053	528	57.078	558
57.103	512	57.129	542
57.154	500	57.180	542
57.205	489	57.230	530
57.256	480	57.281	527
57.306	468	57.331	520
57.357	474	57.383	516
57.407	465	57.433	516
57.458	467	57.484	524
